Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,19.0,DET,NBA,SF,73.0,6.0,1687.0,6.7,18.0,0.375,1.9,6.1,0.307,4.8,11.8,0.41,2.4,3.1,0.784,1.7,7.4,9.2,3.5,1.6,0.4,3.4,5.3,17.7,91.0,106.0,8.7,0.46,0.342,0.17,3.6,16.7,9.9,10.8,1.6,0.5,15.0,19.6,-1.3,1.9,0.6,0.018,-3.5,0.2,-3.3,-0.5
2016-17,20.0,DET,NBA,SF,77.0,1.0,1371.0,4.8,13.4,0.353,1.7,5.7,0.292,3.1,7.8,0.398,1.3,2.0,0.679,1.3,5.6,7.0,3.9,2.1,0.9,2.6,4.5,12.5,88.0,107.0,7.2,0.436,0.422,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,0.012,-4.4,1.4,-3.0,-0.3
2017-18,21.0,DET,NBA,SF,69.0,50.0,1894.0,5.5,14.7,0.375,1.8,6.2,0.286,3.8,8.6,0.439,2.9,3.8,0.772,0.9,5.8,6.6,2.9,2.5,0.4,2.0,4.5,15.8,97.0,107.0,9.0,0.48,0.418,0.259,1.9,13.0,7.3,8.5,2.5,0.7,11.0,16.4,-0.6,2.4,1.8,0.046,-4.0,1.1,-2.9,-0.4
2018-19,22.0,TOT,NBA,SF,66.0,7.0,1208.0,6.9,17.7,0.389,2.5,8.7,0.288,4.4,9.1,0.484,2.0,2.6,0.781,1.4,7.4,8.7,3.5,2.4,0.6,3.3,4.6,18.3,94.0,108.0,9.6,0.485,0.489,0.145,3.0,16.9,9.7,10.6,2.4,1.0,14.7,19.4,-1.1,1.6,0.5,0.021,-3.1,0.9,-2.2,0.0
2018-19,22.0,DET,NBA,SF,48.0,7.0,961.0,6.8,17.9,0.381,2.6,9.3,0.282,4.2,8.6,0.488,2.1,2.6,0.804,1.3,7.7,9.0,3.1,2.5,0.7,2.8,4.7,18.4,95.0,107.0,9.8,0.482,0.519,0.146,2.7,17.7,9.9,9.4,2.5,1.1,12.9,19.1,-0.7,1.4,0.7,0.034,-2.9,1.3,-1.6,0.1
2018-19,22.0,NOP,NBA,SF,18.0,0.0,247.0,7.2,17.1,0.418,2.1,6.4,0.324,5.1,10.7,0.474,1.7,2.4,0.692,1.7,6.2,7.9,5.3,2.3,0.2,4.9,4.1,18.1,90.0,112.0,8.9,0.496,0.374,0.143,3.8,13.7,8.8,15.1,2.3,0.3,21.2,20.4,-0.3,0.2,-0.1,-0.028,-3.9,-0.5,-4.5,-0.2
2019-20,23.0,TOR,NBA,PF,25.0,0.0,150.0,7.0,18.7,0.373,2.2,7.6,0.292,4.8,11.1,0.429,2.9,5.1,0.563,2.2,9.5,11.7,6.3,1.9,1.3,4.8,5.1,19.0,90.0,103.0,9.9,0.454,0.407,0.271,5.0,20.6,13.0,19.4,1.9,2.6,18.5,23.1,-0.3,0.3,0.0,0.014,-3.9,1.4,-2.5,0.0
2020-21,24.0,TOR,NBA,PF,61.0,13.0,1006.0,4.3,11.2,0.382,2.2,6.6,0.328,2.1,4.6,0.458,2.1,2.6,0.8,1.4,6.0,7.4,4.3,2.5,0.9,2.6,5.6,12.8,102.0,112.0,8.8,0.519,0.588,0.236,3.1,14.1,8.4,12.0,2.5,1.8,17.4,13.4,-0.1,1.1,1.0,0.048,-3.8,1.2,-2.5,-0.1
2021-22,25.0,LAL,NBA,PF,48.0,27.0,1094.0,5.1,11.0,0.466,1.4,4.6,0.314,3.7,6.4,0.575,2.3,3.2,0.716,1.5,5.3,6.8,3.5,1.9,0.6,1.5,4.8,14.0,114.0,114.0,10.5,0.564,0.418,0.295,3.4,11.9,7.6,9.8,1.9,1.1,11.0,12.5,0.9,0.9,1.8,0.079,-2.8,0.1,-2.7,-0.2
2022-23,26.0,SAS,NBA,SF,30.0,0.0,469.0,6.6,12.3,0.533,1.8,4.0,0.45,4.8,8.3,0.573,2.6,3.9,0.667,2.2,7.4,9.6,6.8,1.6,0.6,3.3,4.9,17.6,117.0,119.0,13.6,0.625,0.328,0.32,5.0,17.8,11.1,19.1,1.6,1.1,19.2,15.2,0.5,0.3,0.8,0.078,-0.8,-0.2,-1.0,0.1
Career,,,NBA,,449.0,104.0,8879.0,5.7,14.6,0.391,1.9,6.2,0.305,3.8,8.4,0.454,2.3,3.0,0.748,1.4,6.4,7.8,3.8,2.1,0.6,2.7,4.8,15.6,97.0,109.0,9.2,0.489,0.424,0.208,3.0,14.5,8.6,10.8,2.1,1.0,14.3,16.4,-3.3,10.3,6.9,0.038,-3.5,0.8,-2.7,-1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,267.0,64.0,5913.0,5.9,15.9,0.372,1.9,6.6,0.292,4.0,9.3,0.428,2.3,3.0,0.766,1.3,6.5,7.8,3.3,2.2,0.5,2.7,4.7,16.0,93.0,106.0,8.6,0.466,0.413,0.187,2.7,14.8,8.5,9.7,2.1,0.9,13.5,17.4,-4.0,7.5,3.5,0.028,-3.8,1.0,-2.8,-1.2
2 seasons,,TOR,NBA,,86.0,13.0,1156.0,4.6,12.2,0.38,2.2,6.7,0.323,2.5,5.5,0.45,2.2,3.0,0.746,1.5,6.4,7.9,4.6,2.4,0.9,2.9,5.5,13.7,99.0,110.0,9.0,0.506,0.551,0.243,3.3,14.9,9.0,13.0,2.4,1.9,17.6,14.6,-0.4,1.4,1.0,0.043,-3.8,1.2,-2.5,-0.2
1 season,,LAL,NBA,,48.0,27.0,1094.0,5.1,11.0,0.466,1.4,4.6,0.314,3.7,6.4,0.575,2.3,3.2,0.716,1.5,5.3,6.8,3.5,1.9,0.6,1.5,4.8,14.0,114.0,114.0,10.5,0.564,0.418,0.295,3.4,11.9,7.6,9.8,1.9,1.1,11.0,12.5,0.9,0.9,1.8,0.079,-2.8,0.1,-2.7,-0.2
1 season,,SAS,NBA,,30.0,0.0,469.0,6.6,12.3,0.533,1.8,4.0,0.45,4.8,8.3,0.573,2.6,3.9,0.667,2.2,7.4,9.6,6.8,1.6,0.6,3.3,4.9,17.6,117.0,119.0,13.6,0.625,0.328,0.32,5.0,17.8,11.1,19.1,1.6,1.1,19.2,15.2,0.5,0.3,0.8,0.078,-0.8,-0.2,-1.0,0.1
1 season,,NOP,NBA,,18.0,0.0,247.0,7.2,17.1,0.418,2.1,6.4,0.324,5.1,10.7,0.474,1.7,2.4,0.692,1.7,6.2,7.9,5.3,2.3,0.2,4.9,4.1,18.1,90.0,112.0,8.9,0.496,0.374,0.143,3.8,13.7,8.8,15.1,2.3,0.3,21.2,20.4,-0.3,0.2,-0.1,-0.028,-3.9,-0.5,-4.5,-0.2
