Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000-01,22.0,NJN,NBA,SF,77.0,40.0,1660.0,7.7,18.0,0.425,1.6,4.9,0.335,6.0,13.1,0.458,3.1,4.3,0.719,1.3,5.3,6.5,4.4,2.7,0.4,4.1,5.2,20.0,93.0,105.0,12.1,0.503,0.271,0.236,2.8,11.9,7.2,15.1,2.7,0.6,17.1,20.8,-0.4,1.3,0.9,0.026,-1.6,0.1,-1.6,0.2
2001-02,23.0,SAS,NBA,SF,23.0,1.0,227.0,8.0,21.4,0.374,2.1,8.5,0.25,5.9,12.9,0.455,2.8,4.0,0.706,0.7,5.4,6.1,2.6,3.5,0.7,5.4,6.8,20.9,80.0,98.0,7.9,0.452,0.396,0.187,1.6,11.3,6.6,8.3,3.5,0.9,18.9,24.9,-0.5,0.4,-0.1,-0.024,-4.9,1.6,-3.3,-0.1
2002-03,24.0,SAS,NBA,SG,80.0,58.0,2254.0,8.4,19.4,0.435,2.2,7.0,0.32,6.2,12.3,0.501,3.3,4.3,0.76,1.6,5.2,6.8,4.3,3.0,0.7,4.2,4.8,22.4,99.0,99.0,14.5,0.526,0.363,0.224,3.6,10.8,7.4,14.1,3.0,0.9,16.4,22.1,1.2,3.6,4.8,0.102,-0.5,1.4,0.9,1.7
2003-04,25.0,ATL,NBA,SF,80.0,78.0,2940.0,9.6,22.7,0.425,2.6,7.7,0.34,7.0,15.0,0.469,4.2,5.3,0.785,1.7,4.9,6.7,4.4,2.6,0.4,4.0,3.9,26.1,101.0,106.0,16.1,0.521,0.339,0.236,3.8,10.4,7.1,15.7,2.6,0.5,13.8,25.0,2.7,1.8,4.4,0.072,1.0,-0.8,0.1,1.5
2004-05,26.0,IND,NBA,SF,51.0,49.0,1806.0,10.1,25.0,0.403,3.1,8.7,0.36,6.9,16.2,0.426,5.8,7.0,0.83,1.3,6.3,7.6,3.6,2.0,0.4,3.7,4.7,29.1,101.0,105.0,15.9,0.518,0.349,0.28,3.0,13.4,8.3,13.5,2.0,0.6,11.8,27.7,1.0,2.1,3.1,0.082,0.9,-0.6,0.3,1.1
2005-06,27.0,IND,NBA,SG,81.0,81.0,2910.0,8.7,21.1,0.411,2.2,6.2,0.345,6.5,14.9,0.439,4.9,6.3,0.786,0.9,4.9,5.7,4.1,1.9,0.8,3.7,3.6,24.5,99.0,104.0,13.6,0.512,0.295,0.297,2.0,10.1,6.2,14.2,1.9,1.1,13.5,24.0,0.5,3.9,4.4,0.073,-0.6,0.5,-0.1,1.4
2006-07,28.0,TOT,NBA,"SF,SG",75.0,69.0,2479.0,8.3,19.0,0.433,2.0,6.3,0.322,6.2,12.8,0.488,4.9,6.0,0.813,1.2,3.2,4.5,5.8,1.7,0.7,3.7,4.0,23.4,105.0,109.0,14.4,0.54,0.329,0.317,2.7,7.5,5.0,18.8,1.7,1.0,14.5,22.1,2.3,1.7,4.1,0.079,0.1,-0.7,-0.6,0.9
2006-07,28.0,IND,NBA,SG,37.0,32.0,1186.0,7.9,18.8,0.419,1.8,6.0,0.297,6.1,12.8,0.476,5.3,6.4,0.822,0.7,3.4,4.2,5.0,1.4,0.9,3.5,3.8,22.8,103.0,108.0,13.1,0.527,0.321,0.34,1.6,7.8,4.6,16.7,1.4,1.3,14.1,21.7,0.7,1.0,1.7,0.069,-0.5,-0.4,-0.9,0.3
2006-07,28.0,GSW,NBA,SF,38.0,37.0,1293.0,8.6,19.2,0.446,2.2,6.5,0.341,6.4,12.8,0.499,4.6,5.7,0.804,1.6,3.1,4.8,6.5,1.9,0.5,3.8,4.2,24.0,107.0,110.0,15.7,0.55,0.337,0.298,3.7,7.2,5.4,20.6,1.9,0.8,14.9,22.5,1.6,0.8,2.4,0.089,0.6,-0.9,-0.3,0.5
2007-08,29.0,GSW,NBA,SF,73.0,73.0,2855.0,8.3,20.5,0.405,3.1,8.5,0.363,5.2,12.0,0.435,5.2,6.3,0.832,1.1,4.3,5.4,5.1,1.6,0.5,3.4,2.9,24.9,107.0,112.0,14.9,0.536,0.416,0.307,2.4,9.8,6.0,15.2,1.6,0.7,12.6,23.1,3.2,1.4,4.6,0.077,1.1,-1.2,-0.2,1.3
