Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,21.0,TOT,NBA,SF,42.0,0.0,440.0,4.9,14.8,0.329,3.1,9.4,0.326,1.8,5.4,0.333,1.3,2.1,0.6,1.0,2.9,3.8,3.9,1.5,0.1,2.2,2.7,14.1,92.0,113.0,6.0,0.447,0.636,0.143,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16.0,-0.4,0.3,-0.1,-0.012,-3.9,-1.1,-5.0,-0.3
2018-19,21.0,LAL,NBA,SF,39.0,0.0,420.0,4.9,14.6,0.333,3.0,9.4,0.318,1.9,5.2,0.362,1.3,2.2,0.6,0.9,2.9,3.8,3.7,1.4,0.1,2.2,2.8,14.1,91.0,114.0,5.8,0.451,0.644,0.152,2.0,6.3,4.2,10.1,1.4,0.2,12.4,15.9,-0.4,0.3,-0.1,-0.013,-4.1,-1.1,-5.2,-0.3
2018-19,21.0,DET,NBA,SF,3.0,0.0,20.0,4.9,19.7,0.25,4.9,9.9,0.5,0.0,9.9,0.0,0.0,0.0,,2.5,2.5,4.9,9.9,2.5,0.0,2.5,0.0,14.8,96.0,111.0,9.8,0.375,0.5,0.0,5.3,5.7,5.5,28.5,2.5,0.0,11.1,19.4,0.0,0.0,0.0,0.016,0.6,-1.1,-0.5,0.0
2019-20,22.0,DET,NBA,SF,56.0,27.0,1265.0,6.5,15.7,0.41,4.5,11.1,0.404,2.0,4.7,0.425,2.2,2.7,0.814,0.7,3.4,4.0,4.1,1.6,0.2,2.4,3.4,19.6,110.0,116.0,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.0,0.6,1.6,0.06,-0.7,-1.2,-1.9,0.0
2020-21,23.0,TOT,NBA,"SF,SG",66.0,14.0,1324.0,7.6,18.4,0.411,3.8,11.4,0.334,3.8,7.0,0.536,1.4,1.8,0.76,0.9,5.1,5.9,4.0,1.9,0.4,3.2,2.3,20.4,98.0,114.0,10.4,0.529,0.621,0.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,-0.8,1.1,0.3,0.01,-1.9,-0.7,-2.6,-0.2
2020-21,23.0,DET,NBA,SF,36.0,5.0,634.0,6.5,17.3,0.377,4.4,13.2,0.333,2.1,4.0,0.519,1.9,2.3,0.8,0.9,4.9,5.7,4.4,2.1,0.5,3.0,2.6,19.3,100.0,113.0,10.2,0.527,0.767,0.135,1.9,11.2,6.5,13.5,2.1,0.8,14.2,19.0,-0.3,0.6,0.3,0.025,-1.5,-0.2,-1.8,0.0
2020-21,23.0,OKC,NBA,SG,30.0,9.0,690.0,8.5,19.5,0.438,3.3,9.9,0.336,5.2,9.6,0.543,1.0,1.4,0.7,0.9,5.2,6.1,3.7,1.7,0.4,3.4,2.1,21.4,97.0,115.0,10.6,0.531,0.505,0.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,-0.5,0.5,-0.1,-0.004,-2.3,-1.1,-3.3,-0.2
2021-22,24.0,TOR,NBA,SF,56.0,5.0,716.0,6.4,16.3,0.389,2.9,9.4,0.306,3.5,7.0,0.5,2.2,2.6,0.865,1.4,5.0,6.4,3.1,1.8,0.3,2.2,3.8,17.8,104.0,113.0,9.6,0.509,0.573,0.158,2.9,11.5,7.0,8.8,1.8,0.5,11.3,16.9,0.1,0.7,0.8,0.052,-2.7,-0.2,-2.9,-0.2
2022-23,25.0,TOT,NBA,SF,25.0,1.0,231.0,6.6,14.7,0.451,4.6,9.1,0.5,2.1,5.6,0.37,2.3,4.1,0.55,0.8,3.7,4.6,2.9,0.8,0.2,1.9,2.5,20.1,115.0,120.0,10.8,0.608,0.62,0.282,1.8,8.5,5.1,8.4,0.8,0.4,10.1,16.2,0.2,0.1,0.3,0.064,-0.6,-1.2,-1.8,0.0
2022-23,25.0,NYK,NBA,SF,13.0,0.0,40.0,7.4,14.9,0.5,7.4,12.4,0.6,0.0,2.5,0.0,3.7,6.2,0.6,0.0,8.7,8.7,1.2,1.2,0.0,2.5,1.2,26.0,128.0,115.0,15.9,0.739,0.833,0.417,0.0,19.1,9.6,3.6,1.2,0.0,12.3,17.4,0.1,0.0,0.1,0.144,3.5,0.5,4.0,0.1
2022-23,25.0,CHO,NBA,SF,12.0,1.0,191.0,6.5,14.7,0.441,4.0,8.5,0.471,2.5,6.2,0.4,2.0,3.7,0.533,1.0,2.7,3.7,3.2,0.7,0.2,1.7,2.7,18.9,112.0,120.0,9.8,0.579,0.576,0.254,2.2,6.3,4.2,9.5,0.7,0.5,9.6,16.0,0.1,0.1,0.2,0.047,-1.5,-1.6,-3.1,-0.1
Career,,,NBA,,245.0,47.0,3976.0,6.6,16.6,0.4,3.8,10.6,0.36,2.8,6.0,0.471,1.8,2.4,0.761,0.9,4.2,5.1,3.8,1.7,0.3,2.6,2.9,18.9,103.0,115.0,10.0,0.537,0.639,0.145,2.0,9.6,5.7,11.5,1.7,0.5,12.8,17.9,0.1,2.8,2.8,0.034,-1.8,-0.8,-2.6,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,95.0,32.0,1919.0,6.5,16.3,0.396,4.5,11.8,0.378,2.0,4.5,0.443,2.1,2.6,0.81,0.7,3.9,4.6,4.3,1.8,0.3,2.6,3.1,19.4,106.0,115.0,10.8,0.558,0.723,0.157,1.7,9.0,5.3,12.9,1.8,0.4,12.9,17.8,0.7,1.2,1.9,0.048,-1.0,-0.9,-1.8,0.1
