Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1997-98,21.0,SAS,NBA,PF,82,82,3204,12.0,21.8,0.549,0.0,0.2,0.0,12.0,21.6,0.553,5.4,8.2,0.662,4.6,11.9,16.6,3.8,0.9,3.5,4.7,4.3,29.3,108,95,22.6,0.577,0.008,0.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26.0,5.6,7.2,12.8,0.192,2.5,2.0,4.6,5.3
1998-99,22.0,SAS,NBA,PF,50,50,1963,11.5,23.3,0.495,0.0,0.2,0.143,11.5,23.1,0.498,6.8,9.9,0.69,4.4,11.4,15.8,3.3,1.2,3.5,4.0,4.1,29.9,106,91,23.2,0.541,0.008,0.424,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,4.0,4.7,8.7,0.213,2.7,1.8,4.5,3.2
1999-00,23.0,SAS,NBA,PF,74,74,2875,11.6,23.6,0.49,0.0,0.2,0.091,11.5,23.4,0.494,8.4,11.1,0.761,4.8,12.1,16.9,4.3,1.2,3.0,4.5,3.9,31.6,109,95,24.8,0.555,0.009,0.471,10.8,24.8,18.1,15.5,1.2,4.0,13.5,28.7,6.7,6.4,13.0,0.218,3.8,1.8,5.6,5.5
2000-01,24.0,SAS,NBA,PF,82,82,3174,11.9,23.7,0.499,0.1,0.5,0.259,11.7,23.3,0.504,6.9,11.2,0.618,4.4,12.5,16.8,4.1,1.2,3.2,4.1,4.2,30.7,106,94,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,0.2,2.9,1.8,4.7,5.4
2001-02,25.0,SAS,NBA,PF,82,82,3329,12.2,24.1,0.508,0.0,0.2,0.1,12.2,23.9,0.511,9.0,11.2,0.799,4.3,12.4,16.7,4.9,1.0,3.3,4.2,3.5,33.5,114,96,27.0,0.576,0.007,0.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,10.7,7.1,17.8,0.257,5.4,2.2,7.6,8.0
2002-03,26.0,SAS,NBA,PF,81,81,3181,12.0,23.3,0.513,0.1,0.4,0.273,11.9,23.0,0.517,7.5,10.6,0.71,4.3,13.1,17.5,5.3,0.9,4.0,4.2,3.9,31.6,112,94,26.9,0.564,0.016,0.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,9.5,6.9,16.5,0.248,5.0,2.5,7.6,7.7
2003-04,27.0,SAS,NBA,PF,69,68,2527,12.6,25.1,0.501,0.0,0.3,0.167,12.6,24.9,0.505,7.5,12.5,0.599,4.8,13.5,18.3,4.5,1.3,3.9,3.9,3.5,32.8,107,89,27.1,0.534,0.01,0.498,10.2,27.6,19.0,17.4,1.3,5.3,11.3,29.7,5.9,7.2,13.1,0.249,5.2,3.3,8.5,6.7
2004-05,28.0,SAS,NBA,PF,66,66,2203,12.7,25.5,0.496,0.1,0.2,0.333,12.6,25.3,0.498,7.5,11.1,0.67,4.9,13.0,17.9,4.4,1.1,4.3,3.1,3.5,32.9,112,93,27.0,0.54,0.009,0.437,10.7,28.2,19.4,16.1,1.1,5.7,9.3,28.9,5.5,5.7,11.2,0.245,4.8,2.8,7.6,5.4
2005-06,29.0,SAS,NBA,PF,80,80,2784,11.2,23.1,0.484,0.0,0.1,0.4,11.1,23.0,0.485,6.5,10.4,0.629,4.5,12.7,17.2,4.9,1.4,3.2,3.9,4.3,28.9,106,94,23.1,0.523,0.004,0.45,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,3.9,6.9,10.8,0.187,2.3,2.6,5.0,4.9
2006-07,30.0,SAS,NBA,C,80,80,2726,12.1,22.2,0.546,0.0,0.2,0.111,12.1,22.0,0.55,7.1,11.1,0.637,4.2,12.4,16.6,5.4,1.3,3.7,4.4,4.0,31.4,111,94,26.1,0.579,0.008,0.502,9.8,27.0,18.8,18.8,1.3,5.1,14.0,27.9,6.3,6.8,13.0,0.23,3.8,3.2,7.0,6.2
2007-08,31.0,SAS,NBA,C,78,78,2651,11.9,24.0,0.497,0.0,0.1,0.0,11.9,23.9,0.498,6.9,9.4,0.73,4.8,13.1,18.0,4.4,1.1,3.1,3.6,3.8,30.8,110,97,24.4,0.546,0.003,0.393,10.7,28.3,19.6,15.7,1.1,4.3,11.4,28.2,4.9,6.2,11.1,0.201,3.0,2.2,5.2,4.8
2008-09,32.0,SAS,NBA,C,75,75,2524,12.0,23.8,0.504,0.0,0.0,0.0,12.0,23.8,0.505,7.2,10.4,0.692,4.3,12.9,17.2,5.7,0.8,2.7,3.5,3.7,31.2,111,100,24.4,0.549,0.002,0.436,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,5.0,5.0,10.1,0.191,3.4,2.0,5.4,4.7
2009-10,33.0,SAS,NBA,C,78,77,2438,12.0,23.2,0.518,0.0,0.2,0.182,12.0,23.0,0.522,5.8,8.0,0.725,4.7,12.2,16.9,5.3,1.0,2.5,3.0,3.3,30.0,116,101,24.7,0.56,0.01,0.346,10.8,26.8,18.9,17.8,1.0,3.5,10.1,26.0,6.4,4.5,10.9,0.215,4.4,1.8,6.1,5.0
2010-11,34.0,SAS,NBA,C,76,76,2156,10.1,20.2,0.5,0.0,0.1,0.0,10.1,20.1,0.502,4.4,6.2,0.716,4.1,12.3,16.4,4.9,1.2,3.5,2.9,2.9,24.6,111,100,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,3.7,4.0,7.7,0.171,2.2,2.2,4.4,3.5
2011-12,35.0,SAS,NBA,C,58,58,1634,11.4,23.2,0.492,0.0,0.1,0.0,11.4,23.1,0.495,5.5,7.9,0.695,3.5,13.0,16.4,4.2,1.2,2.8,3.1,3.1,28.3,108,99,22.5,0.531,0.005,0.34,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,3.0,2.9,5.9,0.174,2.0,1.3,3.3,2.2
