Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1997-98,20.0,PHI,NBA,SF,77.0,48.0,1779.0,9.1,20.4,0.447,1.8,5.1,0.363,7.3,15.3,0.476,5.1,6.9,0.74,3.2,5.4,8.6,2.7,1.6,0.5,3.5,5.5,25.2,105.0,107.0,14.9,0.538,0.25,0.338,6.9,11.8,9.3,9.3,1.6,0.7,13.1,22.8,2.1,1.3,3.4,0.091,0.7,-1.2,-0.5,0.7
1998-99,21.0,TOT,NBA,SF,50.0,26.0,812.0,8.9,18.9,0.473,1.4,4.6,0.309,7.5,14.3,0.526,4.9,7.6,0.652,3.3,5.2,8.5,3.1,1.8,0.8,3.1,7.2,24.2,108.0,104.0,16.0,0.545,0.244,0.401,7.3,11.3,9.3,10.3,1.8,1.2,12.3,21.7,1.5,0.7,2.2,0.13,1.0,-0.5,0.5,0.5
1998-99,21.0,PHI,NBA,SF,17.0,0.0,188.0,7.8,19.3,0.403,1.4,5.5,0.263,6.3,13.8,0.458,5.5,6.9,0.792,2.0,7.5,9.5,4.3,0.9,0.9,4.3,6.1,22.5,99.0,100.0,12.8,0.503,0.284,0.358,4.2,16.4,10.2,14.8,0.9,1.3,16.2,22.3,0.1,0.2,0.4,0.091,-0.6,-0.4,-1.0,0.1
1998-99,21.0,MIL,NBA,SF,33.0,26.0,624.0,9.3,18.7,0.495,1.4,4.3,0.327,7.9,14.4,0.546,4.8,7.8,0.614,3.7,4.5,8.2,2.7,2.0,0.8,2.7,7.6,24.8,111.0,104.0,16.9,0.558,0.231,0.415,8.2,9.7,9.0,8.9,2.0,1.2,11.0,21.6,1.4,0.5,1.8,0.141,1.5,-0.6,0.9,0.5
1999-00,22.0,MIL,NBA,SF,80.0,1.0,2093.0,8.6,18.6,0.461,1.6,4.5,0.346,7.0,14.1,0.497,4.6,6.0,0.774,2.5,5.7,8.2,2.8,1.5,0.8,3.2,5.6,23.4,107.0,109.0,14.7,0.549,0.242,0.323,5.6,12.9,9.3,8.5,1.5,1.1,13.0,21.0,3.0,0.8,3.8,0.088,0.5,-1.3,-0.8,0.6
2000-01,23.0,MIL,NBA,PF,76.0,16.0,2086.0,8.1,18.9,0.43,2.7,6.5,0.412,5.5,12.4,0.44,4.9,6.3,0.771,2.0,5.8,7.8,3.4,1.9,1.1,2.8,4.8,23.8,109.0,105.0,16.4,0.549,0.343,0.334,4.3,12.6,8.5,10.5,1.9,1.6,11.6,21.3,3.7,1.7,5.5,0.126,1.8,-0.3,1.5,1.8
2001-02,24.0,MIL,NBA,SF,74.0,22.0,1987.0,8.5,20.2,0.42,2.5,7.8,0.326,5.9,12.4,0.478,3.8,4.8,0.793,1.7,6.3,8.0,2.8,1.7,0.9,3.4,5.4,23.3,99.0,107.0,13.1,0.522,0.386,0.238,3.9,13.1,8.7,8.7,1.7,1.2,13.2,22.6,0.8,1.3,2.2,0.052,-1.0,-1.2,-2.3,-0.1
2002-03,25.0,MIL,NBA,SF,80.0,70.0,2358.0,9.3,20.9,0.443,2.2,6.0,0.366,7.1,15.0,0.474,3.3,4.2,0.78,2.2,6.6,8.8,2.3,1.6,1.1,3.0,5.8,24.0,101.0,108.0,14.3,0.527,0.285,0.2,4.8,14.6,9.7,7.3,1.6,1.5,11.6,22.6,1.9,1.0,2.9,0.06,-0.5,-1.7,-2.2,-0.1
2003-04,26.0,TOT,NBA,SF,66.0,65.0,2089.0,9.2,20.6,0.446,1.8,4.9,0.376,7.3,15.7,0.468,4.3,5.5,0.784,1.6,6.5,8.1,3.1,1.6,0.5,2.9,5.0,24.5,104.0,105.0,15.1,0.534,0.239,0.268,3.5,13.9,8.8,10.4,1.6,0.7,11.3,22.4,2.5,1.6,4.1,0.093,0.6,-0.5,0.2,1.1
2003-04,26.0,MIL,NBA,SF,42.0,42.0,1343.0,8.8,19.9,0.443,1.8,5.1,0.362,7.0,14.8,0.471,3.6,4.8,0.762,1.5,6.5,8.0,3.5,1.6,0.6,2.8,5.0,23.1,102.0,106.0,14.2,0.525,0.255,0.239,3.2,14.1,8.7,11.5,1.6,0.8,11.5,21.5,1.3,0.9,2.2,0.079,0.2,-0.2,0.0,0.7
2003-04,26.0,NYK,NBA,SF,24.0,23.0,746.0,9.8,21.8,0.452,1.9,4.6,0.406,8.0,17.2,0.464,5.6,6.9,0.813,1.9,6.4,8.3,2.4,1.7,0.4,3.1,5.0,27.2,106.0,104.0,16.7,0.547,0.211,0.317,4.1,13.6,8.9,8.4,1.7,0.5,11.1,24.2,1.2,0.6,1.8,0.118,1.4,-0.9,0.5,0.4
2004-05,27.0,NYK,NBA,SF,71.0,68.0,1940.0,8.6,19.6,0.439,2.3,5.7,0.409,6.3,13.9,0.451,3.7,4.7,0.786,1.2,5.2,6.5,3.0,1.1,0.5,3.1,6.1,23.2,103.0,111.0,12.3,0.536,0.29,0.241,2.7,11.7,7.2,9.7,1.1,0.7,12.5,21.3,1.4,0.8,2.2,0.054,-0.7,-1.3,-2.0,0.0
2005-06,28.0,TOT,NBA,"PF,SF",29.0,10.0,666.0,8.5,19.7,0.431,3.5,8.4,0.414,5.0,11.4,0.444,2.1,3.2,0.667,1.7,8.2,9.9,1.5,1.2,0.5,2.5,5.9,22.6,100.0,106.0,12.2,0.535,0.424,0.16,3.8,17.8,10.9,4.4,1.2,0.7,10.5,21.1,0.2,0.7,0.9,0.065,-1.7,-1.4,-3.1,-0.2
