Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,20.0,UTA,NBA,C,9.0,0.0,29.0,5.2,19.0,0.273,0.0,1.7,0.0,5.2,17.3,0.3,3.5,3.5,1.0,6.9,12.1,19.0,1.7,0.0,0.0,0.0,1.7,13.8,95.0,107.0,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.033,-3.0,-4.5,-7.5,0.0
2018-19,21.0,UTA,NBA,C,3.0,0.0,36.0,10.6,21.3,0.5,0.0,0.0,,10.6,21.3,0.5,1.3,2.7,0.5,12.0,8.0,19.9,1.3,2.7,2.7,4.0,8.0,22.6,105.0,101.0,19.6,0.504,0.0,0.125,27.6,17.7,22.6,4.5,2.7,4.4,15.1,23.6,0.0,0.1,0.1,0.13,-3.6,-2.4,-6.0,0.0
2019-20,22.0,UTA,NBA,C,58.0,3.0,663.0,9.2,13.9,0.667,0.2,0.2,1.0,9.0,13.7,0.661,2.2,3.4,0.652,8.1,11.5,19.6,1.7,1.0,2.4,2.2,8.4,20.9,135.0,106.0,21.7,0.681,0.016,0.243,19.1,25.0,22.2,5.4,1.0,4.1,12.5,15.8,2.2,1.1,3.3,0.236,1.0,0.3,1.3,0.6
2020-21,23.0,TOT,NBA,C,42.0,8.0,684.0,9.2,13.8,0.665,0.0,0.2,0.0,9.2,13.6,0.675,2.7,3.8,0.691,5.9,10.8,16.7,2.6,1.0,2.1,2.3,4.3,21.0,131.0,109.0,20.7,0.678,0.015,0.279,13.3,24.0,18.6,8.5,1.0,3.9,13.0,15.8,1.8,1.0,2.7,0.192,1.2,0.1,1.3,0.6
2020-21,23.0,PHI,NBA,C,20.0,8.0,287.0,8.6,12.6,0.68,0.0,0.2,0.0,8.6,12.4,0.689,1.2,1.8,0.636,6.6,10.9,17.5,2.9,1.0,2.2,1.0,4.7,18.3,145.0,106.0,21.1,0.683,0.013,0.147,15.2,24.5,19.9,8.7,1.0,4.1,7.0,12.9,1.0,0.5,1.5,0.245,2.3,1.0,3.3,0.4
2020-21,23.0,OKC,NBA,C,22.0,0.0,397.0,9.6,14.6,0.656,0.0,0.2,0.0,9.6,14.4,0.667,3.7,5.3,0.705,5.5,10.7,16.2,2.4,1.1,2.0,3.2,4.0,22.9,123.0,111.0,20.4,0.676,0.016,0.361,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,0.8,0.5,1.3,0.154,0.4,-0.5,-0.2,0.2
2021-22,24.0,CHI,NBA,C,55.0,7.0,549.0,6.4,10.9,0.585,0.0,0.0,,6.4,10.9,0.585,1.7,2.6,0.655,6.0,10.6,16.5,2.4,0.9,2.9,3.0,5.5,14.5,115.0,110.0,14.9,0.6,0.0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,0.6,0.7,1.3,0.112,-2.0,0.2,-1.8,0.0
2022-23,25.0,CHI,NBA,C,12.0,0.0,33.0,8.8,17.7,0.5,4.4,7.4,0.6,4.4,10.3,0.429,5.9,5.9,1.0,1.5,14.7,16.2,1.5,1.5,1.5,1.5,2.9,28.0,133.0,108.0,21.7,0.69,0.417,0.333,3.5,33.6,18.9,4.4,1.5,2.9,6.8,19.7,0.1,0.1,0.2,0.221,4.4,0.5,4.8,0.1
Career,,,NBA,,179.0,18.0,1994.0,8.4,13.3,0.631,0.1,0.3,0.5,8.3,13.0,0.634,2.3,3.4,0.681,6.7,11.0,17.7,2.2,1.0,2.4,2.5,6.0,19.2,127.0,108.0,19.3,0.651,0.022,0.252,15.5,24.5,20.0,6.8,1.0,4.3,14.2,15.5,4.7,2.9,7.5,0.181,0.1,0.1,0.2,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
