Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,21.0,ATL,NBA,SG,56.0,5.0,974.0,7.2,19.2,0.377,3.6,10.0,0.362,3.6,9.2,0.393,2.3,3.2,0.714,0.9,5.7,6.5,4.0,0.9,0.3,1.9,3.2,20.3,100.0,114.0,10.0,0.494,0.521,0.165,1.9,12.9,7.4,12.5,0.9,0.4,8.3,20.0,0.0,0.4,0.4,0.02,-1.4,-1.5,-2.9,-0.2
2018-19,22.0,TOT,NBA,SG,48.0,11.0,698.0,7.4,18.3,0.405,3.1,9.2,0.333,4.4,9.2,0.477,2.6,4.2,0.623,1.9,6.0,7.8,3.9,1.0,0.1,1.9,3.7,20.5,104.0,114.0,11.2,0.509,0.5,0.231,4.2,13.7,8.9,12.4,1.0,0.3,8.5,19.7,0.2,0.4,0.6,0.043,-1.4,-2.1,-3.5,-0.3
2018-19,22.0,ATL,NBA,SG,27.0,0.0,251.0,5.9,16.4,0.36,1.8,7.2,0.256,4.1,9.2,0.44,2.9,4.8,0.615,1.7,6.3,7.9,3.1,1.3,0.2,1.8,3.7,16.6,96.0,116.0,7.8,0.448,0.438,0.292,3.7,14.6,9.0,9.3,1.3,0.3,9.1,17.9,-0.2,0.1,-0.1,-0.01,-3.4,-1.5,-4.9,-0.2
2018-19,22.0,MEM,NBA,SG,21.0,11.0,447.0,8.3,19.5,0.429,3.8,10.3,0.366,4.6,9.1,0.5,2.4,3.9,0.629,2.0,5.8,7.8,4.3,0.8,0.1,1.9,3.7,22.9,108.0,113.0,13.1,0.541,0.531,0.2,4.4,13.3,8.8,14.2,0.8,0.2,8.2,20.7,0.4,0.3,0.7,0.073,-0.3,-2.4,-2.7,-0.1
2022-23,26.0,DAL,NBA,SG,3.0,0.0,8.0,24.9,31.2,0.8,6.2,12.5,0.5,18.7,18.7,1.0,0.0,0.0,,6.2,6.2,12.5,0.0,0.0,0.0,0.0,0.0,56.1,170.0,121.0,45.7,0.9,0.4,0.0,14.4,14.9,14.7,0.0,0.0,0.0,0.0,28.3,0.1,0.0,0.1,0.369,16.5,1.6,18.1,0.0
Career,,,NBA,,107.0,16.0,1680.0,7.4,18.9,0.392,3.4,9.6,0.351,4.0,9.2,0.434,2.4,3.6,0.669,1.3,5.8,7.1,3.9,0.9,0.2,1.9,3.4,20.6,102.0,114.0,10.7,0.503,0.512,0.19,2.9,13.3,8.1,12.4,0.9,0.4,8.3,19.9,0.3,0.8,1.1,0.031,-1.3,-1.7,-3.0,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ATL,NBA,,83.0,5.0,1225.0,6.9,18.6,0.374,3.2,9.4,0.345,3.7,9.2,0.403,2.4,3.5,0.685,1.0,5.8,6.8,3.8,0.9,0.2,1.9,3.3,19.5,99.0,114.0,9.5,0.485,0.505,0.189,2.3,13.3,7.8,11.9,0.9,0.4,8.4,19.6,-0.1,0.5,0.4,0.014,-1.8,-1.5,-3.3,-0.4
1 season,,MEM,NBA,,21.0,11.0,447.0,8.3,19.5,0.429,3.8,10.3,0.366,4.6,9.1,0.5,2.4,3.9,0.629,2.0,5.8,7.8,4.3,0.8,0.1,1.9,3.7,22.9,108.0,113.0,13.1,0.541,0.531,0.2,4.4,13.3,8.8,14.2,0.8,0.2,8.2,20.7,0.4,0.3,0.7,0.073,-0.3,-2.4,-2.7,-0.1
1 season,,DAL,NBA,,3.0,0.0,8.0,24.9,31.2,0.8,6.2,12.5,0.5,18.7,18.7,1.0,0.0,0.0,,6.2,6.2,12.5,0.0,0.0,0.0,0.0,0.0,56.1,170.0,121.0,45.7,0.9,0.4,0.0,14.4,14.9,14.7,0.0,0.0,0.0,0.0,28.3,0.1,0.0,0.1,0.369,16.5,1.6,18.1,0.0
