Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,19.0,MIN,NBA,PG,37.0,0.0,573.0,4.9,13.7,0.359,1.4,4.7,0.302,3.5,9.1,0.388,2.5,3.4,0.718,0.6,3.5,4.1,9.5,2.7,0.3,2.9,2.9,13.7,98.0,111.0,11.2,0.45,0.34,0.25,1.4,8.0,4.8,27.7,2.7,0.4,16.0,16.1,0.0,0.3,0.3,0.027,-1.9,-0.5,-2.4,-0.1
2016-17,20.0,MIN,NBA,PG,60.0,0.0,774.0,4.9,11.9,0.414,1.7,4.8,0.356,3.2,7.1,0.454,2.2,2.8,0.767,0.7,3.7,4.4,10.2,3.1,0.3,2.5,3.3,13.7,114.0,111.0,13.8,0.523,0.403,0.238,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,1.0,0.6,1.5,0.096,-0.6,0.7,0.2,0.4
2017-18,21.0,MIN,NBA,PG,82.0,11.0,1467.0,5.1,11.2,0.457,1.5,4.4,0.349,3.6,6.8,0.528,2.4,2.8,0.877,0.5,4.0,4.5,7.9,3.2,0.2,2.0,3.7,14.2,119.0,110.0,14.1,0.572,0.393,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14.0,12.7,2.3,1.2,3.6,0.117,-0.8,1.7,0.8,1.1
2018-19,22.0,MIN,NBA,PG,68.0,23.0,1560.0,5.7,13.7,0.415,1.2,3.9,0.317,4.5,9.8,0.453,1.8,2.1,0.841,0.7,3.4,4.1,10.0,2.5,0.2,1.4,2.4,14.4,116.0,114.0,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9.0,14.1,2.1,0.9,3.0,0.091,-0.9,0.3,-0.6,0.6
2019-20,23.0,MEM,NBA,PG,65.0,6.0,1232.0,7.5,16.3,0.459,1.8,4.7,0.379,5.7,11.6,0.492,1.6,2.2,0.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,1.7,18.3,116.0,112.0,15.7,0.532,0.289,0.135,0.8,7.9,4.4,32.0,2.2,0.4,10.8,17.2,1.9,1.1,3.0,0.117,0.4,0.2,0.6,0.8
2020-21,24.0,MEM,NBA,PG,70.0,9.0,1222.0,7.0,16.2,0.431,1.8,5.5,0.321,5.2,10.7,0.487,1.6,1.8,0.911,0.8,4.7,5.5,10.1,2.5,0.2,1.9,1.2,17.3,115.0,112.0,15.0,0.511,0.339,0.109,1.8,10.4,6.1,28.6,2.5,0.4,10.0,16.6,1.5,1.3,2.8,0.11,-0.1,0.9,0.8,0.9
2021-22,25.0,MEM,NBA,PG,73.0,23.0,1549.0,7.7,17.0,0.451,2.5,6.3,0.39,5.2,10.7,0.487,1.7,2.0,0.818,0.5,4.9,5.4,10.0,2.0,0.1,1.4,1.0,19.5,125.0,112.0,16.5,0.544,0.371,0.12,1.1,11.0,5.9,28.2,2.0,0.1,7.3,16.6,3.4,1.6,5.1,0.158,1.2,0.5,1.7,1.4
2022-23,26.0,MEM,NBA,PG,73.0,20.0,1757.0,7.8,17.6,0.444,3.1,7.9,0.386,4.8,9.7,0.492,2.0,2.5,0.804,0.7,4.1,4.8,10.0,2.0,0.1,1.8,0.8,20.7,123.0,113.0,16.2,0.553,0.45,0.141,1.6,9.1,5.4,28.3,2.0,0.2,9.0,17.9,3.2,2.1,5.3,0.145,1.3,0.3,1.6,1.6
Career,,,NBA,,528.0,92.0,10134.0,6.6,15.0,0.437,2.0,5.4,0.36,4.6,9.6,0.48,1.9,2.3,0.815,0.6,4.0,4.7,9.8,2.5,0.2,1.9,1.9,17.0,118.0,112.0,14.9,0.53,0.362,0.156,1.4,9.1,5.2,27.7,2.5,0.3,10.5,15.7,15.5,9.1,24.6,0.117,0.0,0.6,0.6,6.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,281.0,58.0,5760.0,7.5,16.9,0.446,2.3,6.3,0.374,5.2,10.6,0.489,1.7,2.2,0.812,0.6,4.3,4.9,10.2,2.2,0.1,1.8,1.1,19.2,120.0,112.0,15.9,0.538,0.373,0.128,1.3,9.6,5.5,29.1,2.2,0.3,9.1,17.1,10.1,6.1,16.2,0.135,0.8,0.4,1.2,4.7
4 seasons,,MIN,NBA,,247.0,34.0,4374.0,5.3,12.6,0.419,1.4,4.3,0.333,3.8,8.2,0.464,2.1,2.6,0.819,0.6,3.7,4.3,9.3,2.9,0.2,2.0,3.1,14.1,114.0,112.0,13.5,0.515,0.343,0.209,1.4,8.4,4.9,25.8,2.9,0.4,12.7,13.8,5.4,3.0,8.4,0.092,-0.9,0.7,-0.2,2.0
