Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,23.0,MIA,NBA,PF,75,24,1795,6.2,13.6,0.459,0.0,0.1,0.0,6.2,13.5,0.462,4.3,5.6,0.765,5.7,8.6,14.4,1.6,1.0,0.7,2.2,6.0,16.7,109,102,13.7,0.521,0.007,0.409,12.1,18.7,15.4,4.9,1.0,1.1,12.3,15.8,2.7,2.1,4.8,0.128,-1.1,-0.9,-2.0,0.0
2004-05,24.0,MIA,NBA,PF,80,80,2675,6.8,12.7,0.54,0.0,0.1,0.0,6.8,12.6,0.543,3.5,4.4,0.791,4.7,9.6,14.3,2.1,1.2,0.8,2.2,5.1,17.2,118,102,15.5,0.588,0.006,0.351,10.9,20.4,15.8,6.3,1.2,1.1,13.2,14.9,5.2,4.0,9.2,0.165,0.2,0.3,0.4,1.6
2005-06,25.0,MIA,NBA,PF,81,80,2491,6.3,12.4,0.508,0.0,0.0,0.0,6.3,12.4,0.509,3.3,4.2,0.789,3.5,9.8,13.3,2.0,1.1,0.4,1.7,4.5,15.9,116,105,13.7,0.558,0.003,0.337,8.2,21.2,15.0,5.9,1.1,0.5,10.5,14.1,3.9,3.1,7.0,0.134,-0.4,-0.1,-0.5,0.9
2006-07,26.0,MIA,NBA,PF,79,79,2483,7.6,15.4,0.492,0.0,0.1,0.0,7.6,15.3,0.495,3.0,4.4,0.68,4.0,10.0,14.1,2.1,1.1,0.6,2.4,5.1,18.1,106,105,13.7,0.523,0.006,0.283,9.2,21.6,15.5,6.6,1.1,0.8,12.0,17.5,2.0,3.1,5.1,0.099,-1.6,-0.8,-2.3,-0.2
2007-08,27.0,MIA,NBA,PF,49,48,1805,7.0,14.9,0.467,0.0,0.0,,7.0,14.9,0.467,3.4,4.2,0.81,3.2,9.9,13.1,2.0,1.1,0.5,2.0,4.3,17.4,104,109,12.7,0.517,0.0,0.28,7.0,22.7,14.7,6.5,1.1,0.8,10.5,16.7,1.0,1.5,2.5,0.067,-1.8,-0.9,-2.7,-0.3
2008-09,28.0,MIA,NBA,PF,75,75,2560,6.9,13.4,0.518,0.0,0.0,,6.9,13.4,0.518,2.7,3.5,0.753,3.5,9.4,12.9,1.8,0.9,0.5,1.7,4.3,16.6,113,108,13.1,0.553,0.0,0.264,7.8,21.2,14.4,5.3,0.9,0.8,10.3,14.7,3.0,2.6,5.7,0.106,-1.4,-0.9,-2.3,-0.2
2009-10,29.0,MIA,NBA,PF,78,0,2177,7.7,15.5,0.494,0.0,0.0,,7.7,15.5,0.494,3.6,4.7,0.762,4.1,11.4,15.5,1.3,0.7,0.6,1.8,4.3,19.0,111,104,14.6,0.538,0.0,0.305,9.1,24.8,17.0,3.9,0.7,0.9,9.5,17.1,2.8,3.2,6.0,0.132,-0.8,-0.8,-1.7,0.2
2010-11,30.0,MIA,NBA,PF,13,0,345,6.7,13.2,0.512,0.0,0.0,,6.7,13.2,0.512,2.4,3.1,0.8,4.4,11.8,16.2,0.9,1.1,0.5,2.1,6.0,15.9,110,102,12.7,0.549,0.0,0.233,10.6,25.0,18.2,2.7,1.1,0.7,12.9,14.8,0.4,0.6,0.9,0.13,-1.7,-0.5,-2.3,0.0
2011-12,31.0,MIA,NBA,PF,64,10,1589,5.0,11.8,0.423,0.0,0.0,,5.0,11.8,0.423,2.7,3.4,0.814,3.9,11.7,15.6,1.4,1.2,0.8,2.0,4.7,12.8,102,99,10.9,0.479,0.0,0.286,9.1,25.6,17.7,4.0,1.2,1.2,13.0,13.5,0.7,2.8,3.5,0.106,-2.2,-0.2,-2.4,-0.2
2012-13,32.0,MIA,NBA,PF,75,59,1414,4.8,9.4,0.514,0.0,0.0,,4.8,9.4,0.514,1.2,1.7,0.711,3.6,11.5,15.1,1.4,1.1,0.6,1.7,6.5,10.9,110,103,9.9,0.535,0.0,0.179,9.0,25.3,17.6,3.8,1.1,0.9,14.2,10.7,1.2,2.0,3.2,0.108,-2.6,-0.5,-3.2,-0.4
