Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,22.0,POR,NBA,SG,73.0,5.0,894.0,6.9,18.2,0.382,0.5,3.8,0.138,6.4,14.3,0.447,2.9,3.8,0.769,2.1,6.4,8.5,3.4,2.0,0.5,3.5,3.3,17.3,87.0,109.0,9.1,0.437,0.21,0.21,4.6,14.3,9.4,10.4,2.0,0.8,15.1,20.4,-1.1,0.6,-0.5,-0.028,-4.0,-0.6,-4.6,-0.6
2013-14,23.0,POR,NBA,SG,41.0,0.0,387.0,8.5,20.4,0.417,1.3,4.3,0.303,7.2,16.1,0.447,3.4,4.2,0.813,2.1,7.6,9.7,4.3,1.2,0.9,2.4,4.1,21.7,103.0,107.0,13.5,0.488,0.212,0.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,0.3,0.4,0.6,0.078,-1.2,-0.1,-1.3,0.1
2014-15,24.0,TOT,NBA,SG,58.0,0.0,983.0,7.7,18.0,0.425,1.2,4.3,0.271,6.5,13.7,0.474,3.8,4.8,0.787,1.3,7.0,8.3,4.1,2.5,1.0,3.1,3.6,20.3,99.0,105.0,13.6,0.503,0.241,0.266,2.8,15.3,8.9,13.0,2.5,1.5,13.4,20.2,0.2,1.1,1.3,0.063,-1.2,1.1,-0.2,0.4
2014-15,24.0,POR,NBA,SG,30.0,0.0,300.0,6.5,17.0,0.38,0.7,3.1,0.222,5.8,13.9,0.415,1.7,2.5,0.667,0.5,5.3,5.8,4.6,2.4,0.7,2.9,3.4,15.3,86.0,103.0,8.3,0.422,0.18,0.15,1.1,10.8,6.1,13.4,2.4,1.0,13.8,18.5,-0.4,0.4,0.0,0.002,-4.7,1.4,-3.3,-0.1
2014-15,24.0,DEN,NBA,SG,28.0,0.0,683.0,8.2,18.5,0.443,1.4,4.9,0.284,6.8,13.6,0.5,4.7,5.8,0.81,1.7,7.7,9.4,3.9,2.5,1.1,3.2,3.7,22.4,104.0,106.0,15.9,0.533,0.265,0.312,3.5,17.2,10.1,12.8,2.5,1.7,13.3,21.0,0.6,0.7,1.3,0.089,0.3,0.9,1.2,0.5
2015-16,25.0,DEN,NBA,SG,82.0,1.0,2353.0,9.1,20.9,0.432,2.4,6.9,0.345,6.7,14.0,0.476,4.6,5.7,0.806,1.3,8.9,10.1,4.3,1.5,0.8,3.0,3.1,25.1,105.0,108.0,16.0,0.535,0.331,0.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,2.4,1.9,4.3,0.088,1.2,-0.4,0.8,1.7
2016-17,26.0,DEN,NBA,SG,60.0,19.0,1705.0,8.4,19.1,0.443,2.5,6.7,0.37,6.0,12.3,0.483,4.1,5.4,0.753,1.7,5.8,7.4,5.9,1.4,0.8,2.8,3.2,23.5,112.0,114.0,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.093,1.2,-1.0,0.2,1.0
2017-18,27.0,DEN,NBA,SG,81.0,40.0,2683.0,8.6,19.0,0.452,2.9,7.8,0.37,5.7,11.2,0.51,3.4,4.2,0.805,1.3,6.3,7.6,6.1,1.5,1.0,2.8,3.1,23.4,113.0,112.0,16.2,0.562,0.411,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1
2018-19,28.0,DEN,NBA,SF,43.0,38.0,1189.0,7.6,19.0,0.402,2.8,8.1,0.342,4.9,10.9,0.447,2.4,3.1,0.77,1.3,6.9,8.2,5.1,0.7,0.9,2.7,3.4,20.4,102.0,111.0,11.0,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,0.1,1.1,1.2,0.049,-1.1,-0.8,-1.8,0.0
2019-20,29.0,DEN,NBA,SF,58.0,58.0,1916.0,8.6,19.0,0.45,2.8,7.4,0.375,5.8,11.6,0.498,2.6,3.4,0.767,2.0,7.5,9.4,5.5,1.6,0.7,2.3,3.1,22.5,113.0,111.0,15.6,0.549,0.39,0.18,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,2.4,1.8,4.2,0.106,1.2,-0.2,1.1,1.5
