Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,NYK,NBA,C,72.0,22.0,1324.0,9.3,17.6,0.529,0.2,0.6,0.267,9.1,17.0,0.538,3.4,4.7,0.728,6.4,12.5,19.0,3.6,1.5,1.4,3.8,5.7,22.2,111.0,107.0,19.0,0.564,0.032,0.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.123,0.3,-0.5,-0.3,0.6
2017-18,23.0,TOT,NBA,C,48.0,1.0,495.0,9.0,16.3,0.555,0.5,1.2,0.417,8.5,15.1,0.566,5.9,8.9,0.656,6.1,12.1,18.2,3.3,1.8,1.6,3.5,6.4,24.4,117.0,106.0,21.2,0.604,0.073,0.549,13.3,27.2,20.2,10.5,1.8,2.7,14.7,21.0,1.1,0.7,1.8,0.174,0.9,0.5,1.4,0.4
2017-18,23.0,NYK,NBA,C,26.0,0.0,233.0,10.4,17.2,0.605,0.2,1.1,0.2,10.2,16.2,0.632,2.6,6.0,0.429,4.7,9.6,14.3,4.5,1.7,1.5,5.5,6.8,23.6,102.0,108.0,16.9,0.595,0.062,0.346,10.5,21.3,15.9,14.3,1.7,2.6,21.8,22.4,0.1,0.3,0.3,0.069,-1.1,0.8,-0.3,0.1
2017-18,23.0,CHO,NBA,C,22.0,1.0,262.0,7.8,15.5,0.506,0.7,1.3,0.571,7.1,14.1,0.5,8.7,11.5,0.758,7.3,14.3,21.6,2.2,1.9,1.7,1.7,6.0,25.1,131.0,104.0,25.0,0.612,0.084,0.747,15.8,32.4,24.0,7.1,1.9,2.9,7.5,19.7,1.0,0.4,1.5,0.266,2.7,0.1,2.8,0.3
2018-19,24.0,CHO,NBA,C,58.0,3.0,812.0,9.2,17.7,0.519,0.9,2.3,0.385,8.3,15.3,0.539,6.0,8.6,0.694,7.0,11.6,18.6,3.6,1.0,1.2,3.5,5.9,25.2,118.0,111.0,20.4,0.587,0.132,0.488,15.3,26.3,20.7,11.5,1.0,2.1,13.9,22.1,1.8,0.8,2.6,0.153,1.1,-1.1,-0.1,0.4
2019-20,25.0,CHO,NBA,C,31.0,0.0,375.0,9.9,18.6,0.532,0.7,2.9,0.227,9.2,15.6,0.59,4.9,7.9,0.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,110.0,110.0,19.2,0.576,0.158,0.424,12.1,27.5,19.5,13.5,1.3,1.7,15.4,22.9,0.4,0.4,0.8,0.107,0.6,-0.5,0.1,0.2
2020-21,26.0,NOP,NBA,C,47.0,12.0,846.0,8.6,15.2,0.563,0.1,0.6,0.1,8.5,14.6,0.581,3.5,5.3,0.667,6.6,12.3,18.9,2.8,1.2,1.3,1.9,3.9,20.7,125.0,111.0,19.6,0.591,0.037,0.347,15.0,27.8,21.4,8.5,1.2,2.6,9.9,17.0,1.9,1.0,2.9,0.163,1.0,-1.0,0.0,0.4
2021-22,27.0,NOP,NBA,C,50.0,8.0,839.0,10.0,19.2,0.52,0.2,0.7,0.333,9.8,18.5,0.527,6.4,8.3,0.773,8.4,11.5,19.9,3.7,1.2,1.1,3.0,5.7,26.7,122.0,111.0,22.2,0.582,0.037,0.431,18.5,26.3,22.3,11.9,1.2,2.2,11.6,22.5,2.2,0.9,3.2,0.18,1.8,-1.5,0.2,0.5
2022-23,28.0,NOP,NBA,C,37.0,2.0,451.0,9.3,17.8,0.524,0.3,1.2,0.273,9.0,16.6,0.542,8.7,11.2,0.779,6.2,12.8,19.0,3.4,1.8,1.4,4.2,6.8,27.7,118.0,108.0,20.7,0.609,0.066,0.627,14.4,30.0,22.2,10.5,1.8,2.8,15.6,23.8,0.8,0.8,1.6,0.169,-0.3,0.4,0.2,0.3
Career,,,NBA,,343.0,48.0,5142.0,9.3,17.4,0.533,0.4,1.2,0.306,8.9,16.3,0.549,5.1,7.2,0.713,6.8,12.1,18.9,3.5,1.4,1.3,3.3,5.5,24.1,117.0,109.0,20.2,0.584,0.066,0.414,14.9,27.3,21.0,11.0,1.4,2.3,13.9,21.0,10.0,6.2,16.2,0.151,0.8,-0.7,0.1,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOP,NBA,,134.0,22.0,2136.0,9.3,17.3,0.536,0.2,0.8,0.242,9.1,16.6,0.549,5.7,7.7,0.746,7.2,12.1,19.3,3.3,1.4,1.3,2.8,5.2,24.5,122.0,111.0,20.9,0.591,0.043,0.444,16.2,27.7,21.9,10.2,1.4,2.5,12.0,20.6,4.9,2.7,7.6,0.171,1.0,-0.9,0.1,1.1
3 seasons,,CHO,NBA,,111.0,4.0,1449.0,9.1,17.5,0.52,0.8,2.3,0.353,8.3,15.2,0.546,6.2,9.0,0.694,6.7,12.2,19.0,3.4,1.2,1.2,3.3,5.5,25.2,118.0,109.0,20.9,0.589,0.132,0.513,14.5,27.7,21.0,11.2,1.2,2.2,13.3,21.9,3.2,1.6,4.9,0.162,1.2,-0.8,0.5,0.9
2 seasons,,NYK,NBA,,98.0,22.0,1557.0,9.5,17.5,0.54,0.2,0.6,0.25,9.3,16.9,0.551,3.3,4.9,0.673,6.2,12.1,18.3,3.8,1.6,1.4,4.0,5.8,22.4,110.0,108.0,18.6,0.569,0.037,0.28,13.3,26.2,19.7,11.9,1.6,2.3,17.0,20.6,1.9,1.8,3.7,0.115,0.1,-0.3,-0.3,0.7
