Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,19.0,MIN,NBA,PG,77.0,40.0,1902.0,7.6,18.1,0.422,1.5,4.5,0.341,6.1,13.6,0.449,4.0,4.7,0.842,0.7,5.0,5.7,7.4,1.4,0.3,5.2,4.2,20.8,95.0,114.0,11.3,0.515,0.247,0.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,-0.7,0.0,-0.7,-0.018,-2.2,-2.5,-4.6,-1.3
2015-16,20.0,MIN,NBA,SG,82.0,33.0,2294.0,9.5,21.1,0.452,2.7,6.9,0.389,6.8,14.1,0.482,3.5,4.5,0.793,0.6,4.4,5.0,5.5,1.5,0.4,3.4,4.2,25.3,104.0,112.0,14.3,0.548,0.33,0.212,1.4,10.1,5.8,18.6,1.5,0.6,12.9,23.5,1.9,0.7,2.6,0.054,0.2,-1.6,-1.5,0.3
2016-17,21.0,MIN,NBA,SG,47.0,47.0,1749.0,9.5,20.6,0.459,3.5,9.0,0.387,6.0,11.6,0.515,3.4,4.1,0.836,0.6,4.1,4.6,4.0,1.2,0.3,2.5,3.0,25.8,112.0,115.0,14.6,0.576,0.437,0.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,2.6,0.4,3.0,0.082,1.5,-1.4,0.1,0.9
2017-18,22.0,CHI,NBA,SG,24.0,24.0,656.0,10.1,26.4,0.383,3.1,9.2,0.341,7.0,17.3,0.405,6.5,8.0,0.813,0.7,6.3,7.0,5.4,1.8,0.3,3.2,4.1,29.8,99.0,111.0,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.3,0.025,-0.8,-1.5,-2.3,-0.1
2018-19,23.0,CHI,NBA,SG,63.0,62.0,2171.0,11.8,25.4,0.467,2.7,7.2,0.374,9.2,18.2,0.504,7.0,8.4,0.832,0.9,5.7,6.6,6.3,1.3,0.6,4.8,3.1,33.3,106.0,115.0,18.7,0.574,0.283,0.33,2.0,12.9,7.4,22.6,1.3,1.0,14.2,30.5,1.7,1.1,2.8,0.062,2.4,-1.6,0.8,1.5
2019-20,24.0,CHI,NBA,SF,60.0,60.0,2085.0,12.5,27.7,0.45,4.3,11.2,0.38,8.2,16.5,0.497,6.2,7.7,0.802,0.9,5.7,6.7,5.9,2.0,0.6,4.8,3.0,35.3,106.0,110.0,19.4,0.568,0.404,0.279,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,1.8,2.2,4.0,0.091,3.3,-0.8,2.5,2.4
2020-21,25.0,CHI,NBA,SG,58.0,58.0,2034.0,13.6,26.8,0.507,4.8,11.4,0.419,8.8,15.4,0.571,6.0,7.1,0.849,0.9,6.0,6.9,6.7,1.1,0.6,4.8,3.3,37.9,115.0,114.0,21.5,0.634,0.425,0.265,2.0,13.6,7.9,23.4,1.1,1.2,13.9,31.0,4.0,1.8,5.9,0.138,4.9,-0.8,4.0,3.1
2021-22,26.0,CHI,NBA,SG,67.0,67.0,2328.0,11.8,24.9,0.476,3.9,10.0,0.389,8.0,14.9,0.534,6.7,7.9,0.853,0.5,6.0,6.5,6.4,0.9,0.5,3.6,2.5,34.3,115.0,116.0,20.0,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,0.12,3.9,-1.5,2.4,2.6
2022-23,27.0,CHI,NBA,SG,69.0,69.0,2503.0,11.7,24.3,0.481,3.8,9.7,0.385,8.0,14.6,0.545,6.4,7.6,0.848,0.8,5.4,6.2,5.6,1.2,0.3,3.5,2.9,33.6,115.0,115.0,18.9,0.607,0.4,0.311,1.8,12.4,7.2,18.2,1.2,0.7,11.2,28.2,3.8,2.6,6.3,0.122,2.7,-0.7,1.9,2.5
Career,,,NBA,,547.0,460.0,17722.0,11.1,23.9,0.464,3.4,8.8,0.386,7.7,15.1,0.51,5.5,6.7,0.833,0.7,5.4,6.1,6.0,1.4,0.5,4.0,3.3,31.1,109.0,114.0,17.4,0.58,0.369,0.279,1.6,12.3,7.0,20.2,1.3,0.8,13.1,27.4,19.5,10.6,30.0,0.081,2.0,-1.4,0.7,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,CHI,NBA,,341.0,340.0,11777.0,12.1,25.8,0.471,3.8,9.8,0.388,8.3,15.9,0.521,6.5,7.7,0.836,0.8,5.8,6.6,6.1,1.3,0.5,4.2,3.0,34.5,111.0,114.0,19.4,0.592,0.381,0.301,1.8,13.3,7.5,21.1,1.3,1.0,12.6,29.9,15.7,9.5,25.2,0.103,3.1,-1.1,2.0,12.0
3 seasons,,MIN,NBA,,206.0,120.0,5945.0,8.9,20.0,0.445,2.6,6.8,0.378,6.3,13.2,0.48,3.6,4.4,0.821,0.6,4.5,5.1,5.7,1.4,0.3,3.7,3.9,24.0,103.0,114.0,13.4,0.547,0.338,0.222,1.4,10.4,5.9,18.6,1.4,0.5,14.4,22.5,3.8,1.1,4.9,0.039,-0.2,-1.8,-2.0,0.0
